timestamp,percent_included
3288,66.23333333333333
3289,66.25
3290,66.31666666666666
3291,66.35555555555555
3292,66.38888888888889
3293,66.45
3294,66.48333333333333
3295,66.54444444444444
3296,66.57222222222222
3297,66.64999999999999
3298,66.67777777777778
3299,66.75
3300,66.79444444444445
3301,66.85555555555555
3302,66.9
3303,66.91666666666667
3304,66.97222222222223
3305,67.02777777777777
3306,67.09444444444445
3307,67.13888888888889
3308,67.16666666666666
3309,67.23333333333333
3310,67.26666666666667
3311,67.33333333333333
3312,67.42777777777778
3313,67.47222222222223
3314,67.5
3315,67.53888888888889
3316,67.59444444444445
3317,67.61666666666667
3318,67.68333333333332
3319,67.74444444444444
3320,67.82777777777778
3321,67.88333333333333
3322,67.92222222222222
3323,67.95555555555556
3324,68.0
3325,68.05555555555556
3326,68.11666666666667
3327,68.16111111111111
3328,68.20555555555555
3329,68.25
3330,68.29444444444445
3331,68.35
3332,68.40555555555555
3333,68.46111111111111
3334,68.5111111111111
3335,68.57777777777778
3336,68.60000000000001
3337,68.63333333333334
3338,68.67777777777778
3339,68.75555555555556
3340,68.79444444444445
3341,68.82777777777778
3342,68.88333333333333
3343,68.92222222222222
3344,68.96666666666667
3345,69.0611111111111
3346,69.08888888888889
3347,69.15
3348,69.17777777777778
3349,69.22222222222221
3350,69.27222222222223
3351,69.31111111111112
3352,69.38333333333333
3353,69.4388888888889
3354,69.52777777777777
3355,69.59444444444445
3356,69.6
3357,69.66666666666667
3358,69.69999999999999
3359,69.74444444444444
3360,69.81666666666668
3361,69.86111111111111
3362,69.91111111111111
3363,69.94444444444444
3364,70.01666666666667
3365,70.05555555555556
3366,70.12222222222222
3367,70.16111111111111
3368,70.22777777777777
3369,70.28888888888889
3370,70.29444444444445
3371,70.34444444444445
3372,70.41111111111111
3373,70.47222222222223
3374,70.50555555555556
3375,70.54444444444444
3376,70.6
3377,70.62777777777778
3378,70.70555555555555
3379,70.75555555555556
3380,70.78333333333333
3381,70.85000000000001
3382,70.87777777777777
3383,70.93333333333334
3384,70.95555555555556
3385,71.00555555555556
3386,71.07777777777777
3387,71.15
3388,71.22222222222221
3389,71.26666666666667
3390,71.28333333333333
3391,71.34444444444445
3392,71.40555555555555
3393,71.45555555555556
3394,71.52222222222223
3395,71.55
3396,71.6
3397,71.65555555555555
3398,71.72777777777777
3399,71.79444444444445
3400,71.83888888888889
3401,71.88333333333333
3402,71.94444444444444
3403,71.97222222222223
3404,72.0
3405,72.04444444444445
3406,72.12222222222222
3407,72.16666666666667
3408,72.20555555555556
3409,72.26666666666667
3410,72.30555555555556
3411,72.34444444444445
3412,72.42777777777778
3413,72.45555555555555
3414,72.50555555555556
3415,72.53888888888889
3416,72.57222222222222
3417,72.63888888888889
3418,72.66666666666667
3419,72.72777777777777
3420,72.77777777777777
3421,72.85555555555555
3422,72.92777777777778
3423,72.95
3424,73.00555555555556
3425,73.04444444444445
3426,73.08888888888889
3427,73.15555555555555
3428,73.20555555555556
3429,73.25555555555555
3430,73.28333333333333
3431,73.36111111111111
3432,73.41666666666666
3433,73.47777777777777
3434,73.52777777777779
3435,73.58333333333333
3436,73.64444444444445
3437,73.64444444444445
3438,73.7
3439,73.7611111111111
3440,73.83888888888889
3441,73.86666666666667
3442,73.91666666666666
3443,73.97222222222221
3444,74.01111111111112
3445,74.07222222222222
3446,74.12222222222222
3447,74.15
3448,74.20555555555556
3449,74.24444444444444
3450,74.28888888888889
3451,74.33333333333333
3452,74.37222222222222
3453,74.44444444444444
3454,74.5111111111111
3455,74.58333333333333
3456,74.62777777777778
3457,74.65
3458,74.69444444444444
3459,74.74444444444444
3460,74.8
3461,74.87222222222222
3462,74.91111111111111
3463,74.96111111111111
3464,75.00555555555556
3465,75.08333333333333
3466,75.13888888888889
3467,75.1888888888889
3468,75.22222222222223
3469,75.28888888888889
3470,75.32222222222222
3471,75.35555555555555
3472,75.38333333333334
3473,75.45555555555555
3474,75.51666666666667
3475,75.56111111111112
3476,75.61666666666666
3477,75.66111111111111
3478,75.69444444444444
3479,75.76666666666667
3480,75.80555555555556
3481,75.85555555555555
3482,75.88888888888889
3483,75.92777777777778
3484,75.99444444444444
3485,76.01666666666667
3486,76.1
3487,76.14444444444445
3488,76.2388888888889
3489,76.3111111111111
3490,76.32222222222222
3491,76.36111111111111
3492,76.40555555555557
3493,76.45555555555555
3494,76.53333333333333
3495,76.58333333333334
3496,76.62777777777777
3497,76.64999999999999
3498,76.71111111111111
3499,76.77777777777777
3500,76.83333333333333
3501,76.87777777777778
3502,76.93333333333334
3503,76.98888888888888
3504,77.0
3505,77.04444444444445
3506,77.10555555555555
3507,77.17777777777778
3508,77.20555555555556
3509,77.26111111111112
3510,77.32777777777777
3511,77.35
3512,77.42222222222223
3513,77.47222222222221
3514,77.5
3515,77.55
3516,77.58333333333334
3517,77.63333333333333
3518,77.67222222222222
3519,77.72222222222223
3520,77.8
3521,77.88333333333334
3522,77.94444444444444
3523,77.99444444444444
3524,78.00555555555555
3525,78.06111111111112
3526,78.10555555555555
3527,78.16666666666666
3528,78.22222222222223
3529,78.26666666666667
3530,78.31666666666666
3531,78.35555555555555
3532,78.43333333333334
3533,78.48333333333333
3534,78.55
3535,78.58333333333334
3536,78.64999999999999
3537,78.68888888888888
3538,78.72222222222223
3539,78.74444444444444
3540,78.81666666666666
3541,78.88333333333334
3542,78.91666666666667
3543,78.98333333333333
3544,79.03333333333333
3545,79.06111111111112
3546,79.13333333333334
3547,79.17222222222222
3548,79.21111111111111
3549,79.24444444444444
3550,79.28888888888889
3551,79.33888888888889
3552,79.35
3553,79.43333333333334
3554,79.48888888888888
3555,79.58333333333333
3556,79.65
3557,79.67777777777778
3558,79.71111111111111
3559,79.75
3560,79.80555555555556
3561,79.86666666666666
3562,79.92777777777778
3563,79.97222222222223
3564,80.00555555555555
3565,80.06666666666666
3566,80.12777777777778
3567,80.19444444444444
3568,80.24444444444444
3569,80.29444444444445
3570,80.35
3571,80.37222222222222
3572,80.41666666666667
3573,80.46111111111112
3574,80.53888888888889
3575,80.56666666666666
3576,80.62222222222222
3577,80.68888888888888
3578,80.72777777777777
3579,80.78333333333333
3580,80.84444444444443
3581,80.86666666666666
3582,80.91666666666667
3583,80.95
3584,81.0
3585,81.03333333333333
3586,81.08333333333333
3587,81.15
3588,81.22777777777777
3589,81.3
3590,81.3611111111111
3591,81.37222222222222
3592,81.41666666666667
3593,81.46666666666667
3594,81.51666666666667
3595,81.58333333333333
3596,81.62222222222222
3597,81.66666666666667
3598,81.71111111111111
3599,81.77222222222223
3600,81.82777777777778
3601,81.88333333333333
3602,81.92777777777778
3603,82.0
3604,82.04444444444444
3605,82.07777777777778
3606,82.09444444444445
3607,82.15
3608,82.23333333333333
3609,82.26666666666667
3610,82.32222222222222
3611,82.38888888888889
3612,82.42222222222222
3613,82.47777777777779
3614,82.52222222222223
3615,82.55555555555556
3616,82.62222222222222
3617,82.66666666666667
3618,82.71666666666667
3619,82.72777777777777
